transaction_id,date,n_items,items
T00160,2025-03-19,2,"Cereal, Milk"
T00161,2025-06-02,3,"Eggs, Lettuce, Soda"
T00162,2025-05-27,1,Eggs
T00163,2025-05-15,3,"Chicken Breast, Soda, Tomatoes"
T00164,2025-03-06,3,"Chips, Eggs, Salsa"
T00165,2025-01-12,1,Cheese
T00166,2025-06-25,1,Yogurt
T00167,2025-01-17,4,"Butter, Milk, Sugar, Tea"
T00168,2025-05-02,3,"Beer, Chips, Wine"
T00169,2025-04-13,2,"Cheese, Diapers"
T00170,2025-01-22,2,"Eggs, Wine"
T00171,2025-06-19,1,Tea
T00172,2025-01-11,4,"Chips, Parmesan, Salsa, Wine"
T00173,2025-02-06,3,"Milk, Sugar, Tea"
T00174,2025-02-09,5,"Chips, Rice, Salsa, Soda, Tomato Sauce"
T00175,2025-05-08,3,"Bananas, Sugar, Tomatoes"
T00176,2025-06-27,6,"Baby Wipes, Bananas, Beer, Chips, Salsa, Yogurt"
T00177,2025-01-17,2,"Apples, Rice"
T00178,2025-06-13,4,"Chips, Eggs, Salsa, Soda"
T00179,2025-04-30,3,"Coffee, Milk, Tomatoes"
T00180,2025-04-15,2,"Coffee, Eggs"
T00181,2025-05-22,6,"Coffee, Garlic, Milk, Pasta, Sugar, Tomato Sauce"
T00182,2025-02-20,3,"Chicken Breast, Rice, Tomatoes"
T00183,2025-02-09,1,Rice
T00184,2025-05-25,3,"Bread, Butter, Cereal"
T00185,2025-05-08,3,"Apples, Lettuce, Tomatoes"
T00186,2025-01-19,4,"Pasta, Sugar, Tea, Tomato Sauce"
T00187,2025-05-12,4,"Bananas, Cereal, Cheese, Milk"
T00188,2025-02-10,2,"Cheese, Lettuce"
T00189,2025-05-08,4,"Bread, Eggs, Tomato Sauce, Yogurt"
T00190,2025-06-22,2,"Milk, Tomatoes"
T00191,2025-04-04,3,"Chips, Milk, Salsa"
T00192,2025-05-21,1,Rice
T00193,2025-01-25,1,Cheese
T00194,2025-02-06,1,Soda
T00195,2025-01-10,1,Cheese
T00196,2025-02-08,3,"Coffee, Soda, Sugar"
T00197,2025-05-11,2,"Apples, Lettuce"
T00198,2025-01-29,5,"Apples, Bread, Butter, Jam, Lettuce"
T00199,2025-06-08,4,"Beer, Coffee, Diapers, Onions"
T00200,2025-06-06,4,"Coffee, Milk, Soda, Sugar"
T00201,2025-03-29,4,"Chicken Breast, Lettuce, Rice, Yogurt"
T00202,2025-02-23,2,"Cheese, Yogurt"
T00203,2025-03-12,1,Lettuce
T00204,2025-04-12,4,"Apples, Coffee, Sugar, Yogurt"
T00205,2025-05-18,1,Tomatoes
T00206,2025-06-07,4,"Cereal, Coffee, Milk, Rice"
T00207,2025-02-05,1,Tomatoes
T00208,2025-06-17,5,"Beer, Butter, Rice, Salsa, Yogurt"
T00209,2025-01-10,4,"Parmesan, Pasta, Rice, Wine"
T00210,2025-06-04,2,"Cheese, Wine"
T00211,2025-02-04,5,"Beer, Chicken Breast, Lettuce, Salsa, Tea"
T00212,2025-04-14,3,"Cheese, Diapers, Soda"
T00213,2025-03-05,2,"Baby Wipes, Diapers"
T00214,2025-01-03,3,"Chips, Soda, Tea"
T00215,2025-03-21,4,"Apples, Chips, Eggs, Soda"
T00216,2025-05-01,2,"Beer, Cereal"
T00217,2025-01-29,1,Tomatoes
T00218,2025-05-18,1,Cheese
T00219,2025-06-24,1,Lettuce
T00220,2025-04-25,3,"Coffee, Sugar, Tea"
T00221,2025-02-25,4,"Cheese, Milk, Parmesan, Wine"
T00222,2025-04-15,1,Coffee
T00223,2025-04-08,2,"Baby Wipes, Diapers"
T00224,2025-03-31,1,Tomatoes
T00225,2025-02-27,3,"Apples, Bread, Butter"
T00226,2025-02-18,3,"Bananas, Milk, Wine"
T00227,2025-04-25,2,"Cereal, Milk"
T00228,2025-02-05,2,"Apples, Cereal"
T00229,2025-03-24,1,Coffee
T00230,2025-05-23,4,"Pasta, Tomato Sauce, Tomatoes, Wine"
T00231,2025-05-02,2,"Cereal, Milk"
T00232,2025-04-17,5,"Baby Wipes, Coffee, Diapers, Milk, Sugar"
T00233,2025-06-04,2,"Apples, Eggs"
T00234,2025-02-25,1,Cheese
T00235,2025-02-24,4,"Bananas, Cereal, Milk, Yogurt"
T00236,2025-06-16,2,"Chicken Breast, Rice"
T00237,2025-03-23,5,"Cheese, Chips, Parmesan, Salsa, Wine"
T00238,2025-05-26,2,"Tomatoes, Yogurt"
T00239,2025-05-06,6,"Garlic, Milk, Parmesan, Pasta, Tea, Yogurt"
T00240,2025-01-13,4,"Coffee, Milk, Parmesan, Wine"
T00241,2025-05-04,4,"Bread, Butter, Milk, Rice"
T00242,2025-04-21,3,"Bananas, Garlic, Pasta"
T00243,2025-01-21,3,"Baby Wipes, Beer, Diapers"
T00244,2025-06-16,4,"Baby Wipes, Bread, Diapers, Eggs"
T00245,2025-03-26,2,"Bananas, Soda"
T00246,2025-06-27,4,"Chicken Breast, Chips, Milk, Yogurt"
T00247,2025-02-23,3,"Baby Wipes, Diapers, Eggs"
T00248,2025-04-09,3,"Coffee, Eggs, Ground Beef"
T00249,2025-06-07,6,"Baby Wipes, Bread, Butter, Cheese, Diapers, Jam"
T00250,2025-01-19,3,"Coffee, Parmesan, Sugar"
T00251,2025-03-20,3,"Chicken Breast, Lettuce, Rice"
T00252,2025-01-23,1,Eggs
T00253,2025-04-09,3,"Cheese, Parmesan, Wine"
T00254,2025-02-13,8,"Coffee, Garlic, Lettuce, Milk, Parmesan, Pasta, Sugar, Tomato Sauce"
T00255,2025-04-12,1,Rice
T00256,2025-04-23,2,"Pasta, Rice"
T00257,2025-05-03,2,"Beer, Diapers"
T00258,2025-03-04,2,"Chicken Breast, Salsa"
T00259,2025-02-16,2,"Bread, Tomatoes"
T00260,2025-04-15,3,"Apples, Coffee, Sugar"
T00261,2025-05-03,2,"Soda, Tomatoes"
T00262,2025-01-10,3,"Chips, Coffee, Tomatoes"
T00263,2025-01-12,3,"Cheese, Diapers, Sugar"
T00264,2025-06-26,3,"Chips, Salsa, Tea"
T00265,2025-01-22,3,"Coffee, Milk, Sugar"
T00266,2025-06-28,1,Eggs
T00267,2025-01-30,1,Cheese
T00268,2025-02-12,6,"Bananas, Cereal, Milk, Pasta, Soda, Tomato Sauce"
T00269,2025-04-20,2,"Beer, Chips"
T00270,2025-05-18,2,"Cheese, Milk"
T00271,2025-05-16,4,"Baby Wipes, Cheese, Diapers, Lettuce"
T00272,2025-06-07,5,"Baby Wipes, Cheese, Coffee, Milk, Sugar"
T00273,2025-05-05,5,"Garlic, Parmesan, Pasta, Tomato Sauce, Tomatoes"
T00274,2025-04-09,3,"Soda, Wine, Yogurt"
T00275,2025-02-26,3,"Chicken Breast, Lettuce, Rice"
T00276,2025-05-11,2,"Bananas, Chips"
T00277,2025-01-11,3,"Sugar, Tea, Tomatoes"
T00278,2025-01-09,2,"Chips, Soda"
T00279,2025-02-23,2,"Chips, Lettuce"
T00280,2025-02-22,4,"Baby Wipes, Chips, Lettuce, Salsa"
T00281,2025-06-23,3,"Coffee, Parmesan, Wine"
T00282,2025-06-23,2,"Coffee, Milk"
T00283,2025-01-24,1,Chicken Breast
T00284,2025-05-29,1,Eggs
T00285,2025-06-20,2,"Eggs, Tomatoes"
T00286,2025-05-07,1,Apples
T00287,2025-05-25,3,"Cheese, Lettuce, Milk"
T00288,2025-02-10,1,Bread
T00289,2025-03-19,3,"Chicken Breast, Diapers, Rice"
T00290,2025-03-20,5,"Cereal, Cheese, Coffee, Milk, Wine"
T00291,2025-04-19,3,"Eggs, Jam, Yogurt"
T00292,2025-03-18,2,"Coffee, Salsa"
T00293,2025-04-23,2,"Beer, Salsa"
T00294,2025-01-23,6,"Bananas, Beer, Coffee, Diapers, Milk, Sugar"
T00295,2025-06-18,5,"Beer, Chips, Lettuce, Salsa, Soda"
T00296,2025-06-13,3,"Bread, Milk, Soda"
T00297,2025-05-01,5,"Bread, Butter, Eggs, Jam, Rice"
T00298,2025-04-13,1,Tomatoes
T00299,2025-01-22,1,Soda
T00300,2025-02-09,3,"Baby Wipes, Diapers, Lettuce"
T00301,2025-03-03,1,Eggs
T00302,2025-06-06,3,"Apples, Pasta, Tomato Sauce"
T00303,2025-02-12,2,"Chicken Breast, Lettuce"
T00304,2025-05-15,1,Lettuce
T00305,2025-05-11,1,Yogurt
T00306,2025-02-10,1,Bananas
T00307,2025-01-30,2,"Chicken Breast, Soda"
T00308,2025-05-01,3,"Coffee, Lettuce, Sugar"
T00309,2025-03-24,2,"Cheese, Jam"
T00310,2025-06-22,6,"Bananas, Cereal, Garlic, Milk, Pasta, Soda"
T00311,2025-06-09,1,Chips
T00312,2025-05-20,4,"Cereal, Coffee, Milk, Sugar"
T00313,2025-03-20,1,Soda
T00314,2025-01-16,5,"Chicken Breast, Coffee, Eggs, Milk, Sugar"
T00315,2025-04-11,2,"Diapers, Lettuce"
T00316,2025-03-08,5,"Baby Wipes, Beer, Cheese, Diapers, Lettuce"
T00317,2025-03-22,1,Tomatoes
T00318,2025-04-26,2,"Chicken Breast, Lettuce"
T00319,2025-06-04,2,"Baby Wipes, Cheese"
T00320,2025-05-12,2,"Apples, Cheese"
T00321,2025-04-26,4,"Bananas, Cereal, Milk, Tomatoes"
T00322,2025-02-20,3,"Chips, Eggs, Soda"
T00323,2025-04-24,3,"Cheese, Eggs, Onions"
T00324,2025-04-12,4,"Baby Wipes, Beer, Cheese, Diapers"
T00325,2025-06-07,1,Apples
T00326,2025-05-03,2,"Chicken Breast, Rice"
T00327,2025-05-20,4,"Baby Wipes, Chips, Diapers, Salsa"
T00328,2025-03-13,1,Yogurt
T00329,2025-03-01,4,"Bananas, Cereal, Lettuce, Milk"
T00330,2025-04-10,2,"Pasta, Tomato Sauce"
T00331,2025-06-29,1,Lettuce
T00332,2025-02-18,2,"Tomatoes, Yogurt"
T00333,2025-03-01,4,"Bread, Butter, Jam, Soda"
T00334,2025-01-16,1,Lettuce
T00335,2025-01-29,3,"Chips, Eggs, Salsa"
T00336,2025-02-10,3,"Parmesan, Wine, Yogurt"
T00337,2025-02-27,5,"Baby Wipes, Diapers, Garlic, Pasta, Tomato Sauce"
T00338,2025-06-06,2,"Garlic, Lettuce"
T00339,2025-03-02,2,"Cheese, Rice"
T00340,2025-06-21,4,"Cheese, Milk, Sugar, Tea"
T00341,2025-04-23,5,"Cheese, Parmesan, Pasta, Tomato Sauce, Wine"
T00342,2025-03-17,3,"Chicken Breast, Lettuce, Parmesan"
T00343,2025-01-24,1,Rice
T00344,2025-04-21,6,"Cheese, Parmesan, Pasta, Rice, Tomato Sauce, Wine"
T00345,2025-05-06,3,"Chips, Salsa, Soda"
T00346,2025-02-22,1,Apples
T00347,2025-01-30,3,"Baby Wipes, Diapers, Wine"
T00348,2025-04-05,2,"Milk, Onions"
T00349,2025-05-25,2,"Bananas, Tomato Sauce"
T00350,2025-05-31,1,Milk
T00351,2025-04-18,5,"Bananas, Cereal, Lettuce, Milk, Yogurt"
T00352,2025-06-08,2,"Sugar, Tea"
T00353,2025-04-19,3,"Cheese, Soda, Wine"
T00354,2025-01-18,1,Tomatoes
T00355,2025-03-12,4,"Bread, Butter, Lettuce, Salsa"
T00356,2025-01-26,3,"Chips, Soda, Tomatoes"
T00357,2025-04-14,1,Rice
T00358,2025-04-12,3,"Cereal, Cheese, Milk"
T00359,2025-03-13,3,"Bananas, Cereal, Milk"
T00360,2025-06-15,2,"Sugar, Tea"
T00361,2025-01-15,4,"Eggs, Garlic, Pasta, Tomato Sauce"
T00362,2025-01-15,3,"Sugar, Tea, Tomato Sauce"
T00363,2025-02-01,3,"Cereal, Chips, Milk"
T00364,2025-06-26,3,"Bread, Butter, Jam"
T00365,2025-03-10,2,"Bread, Soda"
T00366,2025-01-03,1,Rice
T00367,2025-06-14,2,"Diapers, Tea"
T00368,2025-04-12,2,"Bread, Soda"
T00369,2025-06-25,1,Eggs
T00370,2025-03-25,4,"Apples, Beer, Chicken Breast, Chips"
T00371,2025-06-17,2,"Apples, Ground Beef"
T00372,2025-05-30,3,"Beer, Chips, Lettuce"
T00373,2025-04-02,6,"Garlic, Lettuce, Parmesan, Pasta, Tomato Sauce, Tomatoes"
T00374,2025-02-27,3,"Apples, Tea, Wine"
T00375,2025-06-12,2,"Eggs, Rice"
T00376,2025-06-24,1,Apples
T00377,2025-02-08,2,"Beer, Chips"
T00378,2025-02-16,2,"Cheese, Yogurt"
T00379,2025-01-02,2,"Beer, Salsa"
T00380,2025-01-23,1,Wine
T00381,2025-01-10,5,"Bread, Butter, Chips, Jam, Milk"
T00382,2025-03-20,2,"Milk, Tea"
T00383,2025-05-15,2,"Coffee, Sugar"
T00384,2025-04-14,2,"Bananas, Cereal"
T00385,2025-04-04,3,"Beer, Diapers, Milk"
T00386,2025-06-17,2,"Bananas, Milk"
T00387,2025-05-02,5,"Beer, Bread, Chips, Jam, Tomatoes"
T00388,2025-05-08,1,Beer
T00389,2025-04-15,1,Milk
T00390,2025-06-26,6,"Bananas, Bread, Butter, Cereal, Cheese, Milk"
T00391,2025-03-17,2,"Cheese, Milk"
T00392,2025-04-03,3,"Cheese, Parmesan, Wine"
T00393,2025-02-13,2,"Milk, Tea"
T00394,2025-01-30,2,"Sugar, Tea"
T00395,2025-02-12,1,Milk
T00396,2025-01-27,1,Lettuce
T00397,2025-04-23,1,Diapers
T00398,2025-02-03,2,"Ground Beef, Yogurt"
T00399,2025-06-17,1,Soda
T00400,2025-05-25,1,Cheese
T00401,2025-06-08,2,"Cereal, Milk"
T00402,2025-06-06,3,"Apples, Pasta, Tomato Sauce"
T00403,2025-01-13,4,"Baby Wipes, Beer, Diapers, Tomatoes"
T00404,2025-01-31,6,"Baby Wipes, Bananas, Bread, Butter, Diapers, Milk"
T00405,2025-01-14,2,"Cheese, Tea"
T00406,2025-01-30,3,"Bananas, Cereal, Milk"
T00407,2025-01-28,2,"Pasta, Tomato Sauce"
T00408,2025-01-31,6,"Baby Wipes, Beer, Diapers, Salsa, Sugar, Tea"
T00409,2025-01-02,2,"Milk, Tomatoes"
T00410,2025-05-11,4,"Garlic, Lettuce, Pasta, Tomato Sauce"
T00411,2025-06-05,6,"Baby Wipes, Beer, Cereal, Chicken Breast, Diapers, Rice"
T00412,2025-02-21,1,Apples
T00413,2025-02-03,6,"Garlic, Parmesan, Pasta, Soda, Tomato Sauce, Tomatoes"
T00414,2025-03-15,7,"Bread, Butter, Cheese, Jam, Milk, Soda, Wine"
T00415,2025-04-02,2,"Bananas, Tomatoes"
T00416,2025-03-02,2,"Apples, Milk"
T00417,2025-06-25,2,"Bananas, Tomatoes"
T00418,2025-04-24,3,"Chips, Lettuce, Salsa"
T00419,2025-06-24,4,"Garlic, Parmesan, Pasta, Sugar"
T00420,2025-02-09,1,Cheese
T00421,2025-06-10,2,"Apples, Yogurt"
T00422,2025-03-23,3,"Pasta, Soda, Tomato Sauce"
T00423,2025-03-26,1,Apples
T00424,2025-05-02,4,"Bananas, Bread, Butter, Chips"
T00425,2025-05-19,3,"Bread, Jam, Soda"
T00426,2025-05-12,2,"Apples, Bananas"
T00427,2025-01-17,2,"Beer, Chips"
T00428,2025-04-22,4,"Coffee, Eggs, Jam, Sugar"
T00429,2025-02-28,6,"Baby Wipes, Cheese, Diapers, Sugar, Tea, Wine"
T00430,2025-06-25,2,"Eggs, Yogurt"
T00431,2025-06-19,3,"Parmesan, Pasta, Tomato Sauce"
T00432,2025-06-23,5,"Bread, Butter, Chips, Soda, Tomatoes"
T00433,2025-06-15,6,"Coffee, Garlic, Lettuce, Pasta, Sugar, Tomato Sauce"
T00434,2025-01-18,1,Beer
T00435,2025-06-17,1,Apples
T00436,2025-03-23,1,Cheese
T00437,2025-05-30,1,Lettuce
T00438,2025-04-20,2,"Cheese, Coffee"
T00439,2025-03-12,2,"Cheese, Coffee"
T00440,2025-02-14,3,"Chicken Breast, Eggs, Lettuce"
T00441,2025-01-20,6,"Baby Wipes, Bread, Diapers, Jam, Milk, Soda"
T00442,2025-02-04,2,"Soda, Tomato Sauce"
T00443,2025-06-07,4,"Coffee, Milk, Soda, Sugar"
T00444,2025-04-02,2,"Sugar, Yogurt"
T00445,2025-02-22,4,"Baby Wipes, Chips, Diapers, Salsa"
T00446,2025-03-09,4,"Lettuce, Parmesan, Pasta, Tomato Sauce"
T00447,2025-04-14,2,"Chips, Salsa"
T00448,2025-02-12,1,Soda
T00449,2025-02-17,1,Rice
T00450,2025-02-28,1,Cheese
T00451,2025-05-03,2,"Lettuce, Tomatoes"
T00452,2025-02-02,6,"Coffee, Milk, Parmesan, Pasta, Sugar, Tomato Sauce"
T00453,2025-01-22,1,Rice
T00454,2025-02-13,1,Wine
T00455,2025-06-18,3,"Cheese, Garlic, Pasta"
T00456,2025-05-10,3,"Bananas, Coffee, Sugar"
T00457,2025-01-24,2,"Apples, Coffee"
T00458,2025-04-18,1,Milk
T00459,2025-05-04,3,"Chips, Diapers, Eggs"
T00460,2025-01-22,1,Tomatoes
T00461,2025-01-02,3,"Bananas, Soda, Wine"
T00462,2025-01-28,2,"Chicken Breast, Lettuce"
T00463,2025-06-06,1,Diapers
T00464,2025-04-05,2,"Chicken Breast, Yogurt"
T00465,2025-06-18,2,"Cereal, Milk"
T00466,2025-05-21,3,"Milk, Pasta, Tomato Sauce"
T00467,2025-03-09,1,Eggs
T00468,2025-04-13,2,"Apples, Soda"
T00469,2025-02-14,5,"Bread, Butter, Milk, Sugar, Tea"
T00470,2025-01-01,4,"Baby Wipes, Chicken Breast, Diapers, Eggs"
T00471,2025-05-30,2,"Chicken Breast, Rice"
T00472,2025-02-14,1,Bananas
T00473,2025-03-29,3,"Chicken Breast, Soda, Tomatoes"
T00474,2025-03-28,6,"Bread, Butter, Jam, Milk, Rice, Tea"
T00475,2025-03-15,2,"Cheese, Yogurt"
T00476,2025-02-25,8,"Beer, Chicken Breast, Chips, Garlic, Lettuce, Pasta, Rice, Salsa"
T00477,2025-01-11,3,"Cheese, Chips, Salsa"
T00478,2025-05-11,2,"Bananas, Cereal"
T00479,2025-01-09,6,"Baby Wipes, Beer, Diapers, Parmesan, Pasta, Tomato Sauce"
T00480,2025-03-10,1,Rice
T00481,2025-04-19,3,"Chips, Salsa, Soda"
T00482,2025-01-26,4,"Bananas, Cereal, Milk, Tomatoes"
T00483,2025-06-11,2,"Cheese, Yogurt"
T00484,2025-04-12,2,"Pasta, Tomato Sauce"
T00485,2025-04-03,1,Tomatoes
T00486,2025-01-06,2,"Chips, Salsa"
T00487,2025-03-14,1,Soda
T00488,2025-01-21,1,Apples
